id_transacao,id_cliente,data_transacao,valor_transacao,categoria_transacao,metodo_pagamento,valor_com_taxa,transacao_valida
39,561,2023-01-02 14:00:00,379.27,Entretenimento,Cartão de Crédito,398.2335,True
40,475,2023-01-02 15:00:00,216.95,Saúde,Cartão de Débito,227.79749999999999,True
41,59,2023-01-02 16:00:00,698.84,Educação,Dinheiro,733.782,True
42,511,2023-01-02 17:00:00,944.77,Alimentação,Transferência Bancária,992.0085,True
43,682,2023-01-02 18:00:00,995.56,Alimentação,Transferência Bancária,1045.338,True
44,476,2023-01-02 19:00:00,455.77,Alimentação,Dinheiro,478.5585,True
45,700,2023-01-02 20:00:00,260.01,Alimentação,Transferência Bancária,273.0105,True
46,976,2023-01-02 21:00:00,448.4,Transporte,Transferência Bancária,470.82,True
47,783,2023-01-02 22:00:00,848.8,Transporte,Transferência Bancária,891.24,True
48,190,2023-01-02 23:00:00,213.95,Transporte,Transferência Bancária,224.6475,True
49,958,2023-01-03 00:00:00,952.57,Transporte,Dinheiro,1000.1985000000001,True
50,687,2023-01-03 01:00:00,348.45,Entretenimento,Cartão de Crédito,365.8725,True
51,958,2023-01-03 02:00:00,985.95,Transporte,Transferência Bancária,1035.2475000000002,True
52,563,2023-01-03 03:00:00,840.22,Entretenimento,Dinheiro,882.2310000000001,True
53,876,2023-01-03 04:00:00,810.48,Saúde,Transferência Bancária,851.004,True
54,567,2023-01-03 05:00:00,324.73,Transporte,Dinheiro,340.96650000000005,True
55,244,2023-01-03 06:00:00,18.69,Saúde,Dinheiro,19.6245,False
56,832,2023-01-03 07:00:00,388.31,Transporte,Cartão de Crédito,407.7255,True
57,505,2023-01-03 08:00:00,308.79,Saúde,Cartão de Débito,324.22950000000003,True
58,131,2023-01-03 09:00:00,47.02,Educação,Cartão de Crédito,49.371,False
59,485,2023-01-03 10:00:00,510.31,Saúde,Cartão de Crédito,535.8255,True
60,819,2023-01-03 11:00:00,409.0,Entretenimento,Transferência Bancária,429.45000000000005,True
61,647,2023-01-03 12:00:00,638.21,Alimentação,Dinheiro,670.1205000000001,True
62,21,2023-01-03 13:00:00,624.97,Saúde,Cartão de Débito,656.2185000000001,True
63,841,2023-01-03 14:00:00,129.54,Alimentação,Dinheiro,136.017,True
64,167,2023-01-03 15:00:00,977.2,Educação,Transferência Bancária,1026.0600000000002,True
65,274,2023-01-03 16:00:00,195.06,Educação,Dinheiro,204.81300000000002,True
66,388,2023-01-03 17:00:00,450.82,Entretenimento,Transferência Bancária,473.361,True
67,601,2023-01-03 18:00:00,493.24,Entretenimento,Cartão de Crédito,517.902,True
68,316,2023-01-03 19:00:00,814.93,Saúde,Cartão de Crédito,855.6765,True
69,14,2023-01-03 20:00:00,108.24,Transporte,Transferência Bancária,113.652,True
70,242,2023-01-03 21:00:00,434.36,Educação,Cartão de Crédito,456.07800000000003,True
71,777,2023-01-03 22:00:00,632.22,Alimentação,Dinheiro,663.831,True
72,346,2023-01-03 23:00:00,223.0,Transporte,Cartão de Débito,234.15,True
73,565,2023-01-04 00:00:00,631.19,Educação,Cartão de Débito,662.7495000000001,True
74,898,2023-01-04 01:00:00,924.43,Saúde,Dinheiro,970.6514999999999,True
75,340,2023-01-04 02:00:00,997.54,Educação,Cartão de Débito,1047.417,True
76,92,2023-01-04 03:00:00,42.13,Entretenimento,Dinheiro,44.23650000000001,False
77,367,2023-01-04 04:00:00,243.23,Alimentação,Transferência Bancária,255.3915,True
78,956,2023-01-04 05:00:00,317.2,Alimentação,Cartão de Débito,333.06,True
79,455,2023-01-04 06:00:00,405.13,Entretenimento,Transferência Bancária,425.3865,True
80,428,2023-01-04 07:00:00,249.83,Transporte,Transferência Bancária,262.3215,True
81,509,2023-01-04 08:00:00,211.45,Entretenimento,Dinheiro,222.0225,True
82,776,2023-01-04 09:00:00,955.01,Alimentação,Cartão de Débito,1002.7605,True
83,943,2023-01-04 10:00:00,919.34,Saúde,Cartão de Crédito,965.3070000000001,True
84,35,2023-01-04 11:00:00,56.52,Transporte,Cartão de Crédito,59.346000000000004,True
85,206,2023-01-04 12:00:00,345.42,Educação,Cartão de Crédito,362.69100000000003,True
86,81,2023-01-04 13:00:00,411.1,Saúde,Cartão de Crédito,431.65500000000003,True
87,932,2023-01-04 14:00:00,246.62,Transporte,Dinheiro,258.951,True
88,562,2023-01-04 15:00:00,632.58,Alimentação,Transferência Bancária,664.2090000000001,True
89,872,2023-01-04 16:00:00,643.98,Alimentação,Cartão de Débito,676.1790000000001,True
90,388,2023-01-04 17:00:00,852.0,Saúde,Dinheiro,894.6,True
91,2,2023-01-04 18:00:00,743.46,Transporte,Cartão de Crédito,780.633,True
92,390,2023-01-04 19:00:00,547.15,Educação,Cartão de Débito,574.5075,True
93,566,2023-01-04 20:00:00,657.05,Educação,Dinheiro,689.9025,True
94,106,2023-01-04 21:00:00,281.25,Entretenimento,Transferência Bancária,295.3125,True
95,772,2023-01-04 22:00:00,597.13,Saúde,Cartão de Crédito,626.9865,True
96,822,2023-01-04 23:00:00,494.33,Transporte,Cartão de Débito,519.0465,True
97,477,2023-01-05 00:00:00,142.01,Saúde,Cartão de Débito,149.1105,True
98,703,2023-01-05 01:00:00,250.12,Educação,Cartão de Crédito,262.62600000000003,True
99,402,2023-01-05 02:00:00,298.78,Transporte,Transferência Bancária,313.719,True
100,730,2023-01-05 03:00:00,925.07,Alimentação,Cartão de Crédito,971.3235000000001,True
101,556,2023-01-05 04:00:00,238.08,Alimentação,Transferência Bancária,249.98400000000004,True
102,162,2023-01-05 05:00:00,296.35,Transporte,Cartão de Débito,311.1675,True
103,202,2023-01-05 06:00:00,375.66,Saúde,Cartão de Crédito,394.44300000000004,True
104,958,2023-01-05 07:00:00,667.11,Saúde,Transferência Bancária,700.4655,True
105,996,2023-01-05 08:00:00,127.06,Alimentação,Transferência Bancária,133.413,True
106,270,2023-01-05 09:00:00,954.41,Alimentação,Dinheiro,1002.1305,True
107,863,2023-01-05 10:00:00,866.92,Educação,Transferência Bancária,910.266,True
108,816,2023-01-05 11:00:00,581.44,Transporte,Cartão de Crédito,610.5120000000001,True
109,271,2023-01-05 12:00:00,677.3,Saúde,Cartão de Crédito,711.165,True
110,456,2023-01-05 13:00:00,26.49,Educação,Transferência Bancária,27.8145,False
111,462,2023-01-05 14:00:00,345.56,Saúde,Cartão de Crédito,362.838,True
112,727,2023-01-05 15:00:00,797.7,Alimentação,Cartão de Débito,837.585,True
113,252,2023-01-05 16:00:00,86.71,Transporte,Cartão de Débito,91.0455,True
114,702,2023-01-05 17:00:00,289.49,Entretenimento,Cartão de Crédito,303.96450000000004,True
115,296,2023-01-05 18:00:00,589.44,Transporte,Transferência Bancária,618.912,True
116,725,2023-01-05 19:00:00,263.85,Entretenimento,Cartão de Débito,277.0425,True
117,720,2023-01-05 20:00:00,934.64,Educação,Transferência Bancária,981.3720000000001,True
118,749,2023-01-05 21:00:00,139.75,Entretenimento,Cartão de Crédito,146.7375,True
119,338,2023-01-05 22:00:00,799.42,Entretenimento,Dinheiro,839.391,True
120,879,2023-01-05 23:00:00,512.87,Educação,Cartão de Débito,538.5135,True
121,53,2023-01-06 00:00:00,752.83,Transporte,Cartão de Crédito,790.4715000000001,True
122,792,2023-01-06 01:00:00,317.61,Educação,Cartão de Débito,333.49050000000005,True
123,922,2023-01-06 02:00:00,519.34,Alimentação,Transferência Bancária,545.307,True
124,217,2023-01-06 03:00:00,858.27,Alimentação,Dinheiro,901.1835,True
125,764,2023-01-06 04:00:00,472.21,Entretenimento,Dinheiro,495.8205,True
126,188,2023-01-06 05:00:00,366.12,Educação,Cartão de Crédito,384.42600000000004,True
127,380,2023-01-06 06:00:00,540.79,Educação,Cartão de Débito,567.8294999999999,True
128,493,2023-01-06 07:00:00,720.19,Educação,Dinheiro,756.1995000000001,True
129,41,2023-01-06 08:00:00,449.13,Transporte,Cartão de Débito,471.5865,True
130,157,2023-01-06 09:00:00,939.49,Saúde,Transferência Bancária,986.4645,True
131,15,2023-01-06 10:00:00,302.0,Saúde,Transferência Bancária,317.1,True
132,813,2023-01-06 11:00:00,480.71,Saúde,Cartão de Crédito,504.7455,True
133,65,2023-01-06 12:00:00,759.36,Transporte,Dinheiro,797.3280000000001,True
134,857,2023-01-06 13:00:00,692.23,Educação,Dinheiro,726.8415,True
135,839,2023-01-06 14:00:00,865.0,Saúde,Cartão de Débito,908.25,True
136,521,2023-01-06 15:00:00,996.84,Educação,Transferência Bancária,1046.682,True
137,344,2023-01-06 16:00:00,432.59,Entretenimento,Dinheiro,454.2195,True
138,129,2023-01-06 17:00:00,120.04,Saúde,Cartão de Crédito,126.04200000000002,True
139,648,2023-01-06 18:00:00,40.11,Entretenimento,Cartão de Crédito,42.115500000000004,False
140,472,2023-01-06 19:00:00,729.61,Transporte,Dinheiro,766.0905,True
141,63,2023-01-06 20:00:00,875.27,Alimentação,Cartão de Crédito,919.0335,True
142,139,2023-01-06 21:00:00,228.51,Transporte,Dinheiro,239.9355,True
143,499,2023-01-06 22:00:00,166.86,Transporte,Dinheiro,175.20300000000003,True
144,593,2023-01-06 23:00:00,71.58,Transporte,Dinheiro,75.159,True
145,392,2023-01-07 00:00:00,824.48,Saúde,Dinheiro,865.7040000000001,True
146,675,2023-01-07 01:00:00,318.27,Entretenimento,Cartão de Débito,334.1835,True
147,419,2023-01-07 02:00:00,407.68,Saúde,Dinheiro,428.064,True
148,289,2023-01-07 03:00:00,507.72,Alimentação,Cartão de Crédito,533.106,True
149,379,2023-01-07 04:00:00,841.06,Transporte,Transferência Bancária,883.1129999999999,True
150,773,2023-01-07 05:00:00,654.32,Educação,Cartão de Débito,687.0360000000001,True
151,490,2023-01-07 06:00:00,618.91,Alimentação,Transferência Bancária,649.8555,True
152,231,2023-01-07 07:00:00,183.92,Entretenimento,Transferência Bancária,193.11599999999999,True
153,41,2023-01-07 08:00:00,518.06,Alimentação,Transferência Bancária,543.963,True
154,28,2023-01-07 09:00:00,718.23,Saúde,Transferência Bancária,754.1415000000001,True
155,135,2023-01-07 10:00:00,973.53,Educação,Transferência Bancária,1022.2065,True
156,201,2023-01-07 11:00:00,209.39,Saúde,Cartão de Crédito,219.8595,True
157,840,2023-01-07 12:00:00,19.45,Transporte,Dinheiro,20.4225,False
158,780,2023-01-07 13:00:00,84.55,Transporte,Cartão de Crédito,88.7775,True
159,930,2023-01-07 14:00:00,382.09,Alimentação,Cartão de Débito,401.1945,True
160,33,2023-01-07 15:00:00,822.34,Transporte,Cartão de Crédito,863.4570000000001,True
161,48,2023-01-07 16:00:00,17.07,Transporte,Cartão de Débito,17.9235,False
162,503,2023-01-07 17:00:00,462.16,Entretenimento,Dinheiro,485.26800000000003,True
163,407,2023-01-07 18:00:00,335.94,Entretenimento,Transferência Bancária,352.737,True
164,574,2023-01-07 19:00:00,61.96,Saúde,Dinheiro,65.058,True
165,728,2023-01-07 20:00:00,455.73,Saúde,Cartão de Crédito,478.51650000000006,True
166,805,2023-01-07 21:00:00,262.2,Entretenimento,Cartão de Crédito,275.31,True
167,99,2023-01-07 22:00:00,358.37,Alimentação,Dinheiro,376.2885,True
168,684,2023-01-07 23:00:00,708.56,Entretenimento,Dinheiro,743.9879999999999,True
169,872,2023-01-08 00:00:00,526.34,Saúde,Cartão de Crédito,552.657,True
170,726,2023-01-08 01:00:00,133.4,Educação,Dinheiro,140.07000000000002,True
171,987,2023-01-08 02:00:00,961.8,Transporte,Cartão de Débito,1009.89,True
172,547,2023-01-08 03:00:00,639.55,Educação,Cartão de Débito,671.5275,True
173,961,2023-01-08 04:00:00,768.21,Educação,Cartão de Crédito,806.6205000000001,True
174,739,2023-01-08 05:00:00,88.42,Transporte,Cartão de Crédito,92.84100000000001,True
175,613,2023-01-08 06:00:00,56.59,Entretenimento,Dinheiro,59.419500000000006,True
176,943,2023-01-08 07:00:00,29.25,Alimentação,Dinheiro,30.712500000000002,False
177,462,2023-01-08 08:00:00,196.91,Educação,Transferência Bancária,206.7555,True
178,643,2023-01-08 09:00:00,420.26,Alimentação,Cartão de Débito,441.273,True
179,769,2023-01-08 10:00:00,936.47,Saúde,Cartão de Crédito,983.2935000000001,True
180,5,2023-01-08 11:00:00,462.49,Educação,Cartão de Crédito,485.6145,True
181,218,2023-01-08 12:00:00,297.35,Saúde,Cartão de Crédito,312.21750000000003,True
182,503,2023-01-08 13:00:00,566.32,Entretenimento,Cartão de Crédito,594.6360000000001,True
183,767,2023-01-08 14:00:00,120.82,Educação,Transferência Bancária,126.861,True
184,398,2023-01-08 15:00:00,613.41,Saúde,Cartão de Débito,644.0805,True
185,871,2023-01-08 16:00:00,572.75,Saúde,Transferência Bancária,601.3875,True
186,795,2023-01-08 17:00:00,794.07,Entretenimento,Cartão de Débito,833.7735000000001,True
187,393,2023-01-08 18:00:00,986.82,Alimentação,Cartão de Crédito,1036.161,True
188,207,2023-01-08 19:00:00,258.36,Alimentação,Cartão de Débito,271.278,True
189,15,2023-01-08 20:00:00,514.56,Educação,Cartão de Crédito,540.288,True
190,858,2023-01-08 21:00:00,909.78,Entretenimento,Transferência Bancária,955.269,True
191,554,2023-01-08 22:00:00,787.34,Educação,Cartão de Débito,826.7070000000001,True
192,892,2023-01-08 23:00:00,492.53,Alimentação,Dinheiro,517.1564999999999,True
193,461,2023-01-09 00:00:00,945.92,Entretenimento,Cartão de Débito,993.216,True
194,691,2023-01-09 01:00:00,66.66,Transporte,Cartão de Crédito,69.993,True
195,575,2023-01-09 02:00:00,931.69,Entretenimento,Dinheiro,978.2745000000001,True
196,864,2023-01-09 03:00:00,60.0,Entretenimento,Cartão de Crédito,63.0,True
197,743,2023-01-09 04:00:00,551.83,Transporte,Dinheiro,579.4215,True
198,241,2023-01-09 05:00:00,891.54,Saúde,Dinheiro,936.117,True
199,564,2023-01-09 06:00:00,270.09,Saúde,Cartão de Débito,283.5945,True
200,96,2023-01-09 07:00:00,477.53,Saúde,Cartão de Débito,501.4065,True
201,900,2023-01-09 08:00:00,331.09,Alimentação,Dinheiro,347.6445,True
202,734,2023-01-09 09:00:00,952.62,Entretenimento,Dinheiro,1000.2510000000001,True
203,485,2023-01-09 10:00:00,825.41,Transporte,Dinheiro,866.6805,True
204,407,2023-01-09 11:00:00,711.91,Alimentação,Cartão de Crédito,747.5055,True
205,231,2023-01-09 12:00:00,591.75,Transporte,Cartão de Débito,621.3375,True
206,749,2023-01-09 13:00:00,822.39,Alimentação,Cartão de Crédito,863.5095,True
207,655,2023-01-09 14:00:00,398.34,Alimentação,Cartão de Débito,418.257,True
208,171,2023-01-09 15:00:00,453.08,Alimentação,Transferência Bancária,475.734,True
209,541,2023-01-09 16:00:00,732.7,Transporte,Cartão de Crédito,769.335,True
210,36,2023-01-09 17:00:00,364.18,Educação,Cartão de Débito,382.389,True
211,525,2023-01-09 18:00:00,73.26,Alimentação,Dinheiro,76.923,True
212,160,2023-01-09 19:00:00,83.59,Saúde,Dinheiro,87.76950000000001,True
213,839,2023-01-09 20:00:00,124.21,Entretenimento,Cartão de Débito,130.4205,True
214,699,2023-01-09 21:00:00,870.98,Educação,Dinheiro,914.5290000000001,True
215,243,2023-01-09 22:00:00,477.5,Educação,Dinheiro,501.375,True
216,86,2023-01-09 23:00:00,715.75,Transporte,Transferência Bancária,751.5375,True
217,796,2023-01-10 00:00:00,398.98,Educação,Transferência Bancária,418.92900000000003,True
218,578,2023-01-10 01:00:00,266.12,Transporte,Transferência Bancária,279.42600000000004,True
219,682,2023-01-10 02:00:00,353.72,Transporte,Cartão de Crédito,371.40600000000006,True
220,557,2023-01-10 03:00:00,796.24,Saúde,Transferência Bancária,836.052,True
221,574,2023-01-10 04:00:00,628.96,Alimentação,Transferência Bancária,660.408,True
222,953,2023-01-10 05:00:00,938.26,Educação,Transferência Bancária,985.173,True
223,646,2023-01-10 06:00:00,682.91,Alimentação,Cartão de Débito,717.0555,True
224,796,2023-01-10 07:00:00,574.48,Alimentação,Dinheiro,603.2040000000001,True
225,28,2023-01-10 08:00:00,614.09,Alimentação,Cartão de Débito,644.7945000000001,True
226,620,2023-01-10 09:00:00,942.95,Transporte,Transferência Bancária,990.0975000000001,True
227,556,2023-01-10 10:00:00,790.32,Alimentação,Cartão de Crédito,829.8360000000001,True
228,340,2023-01-10 11:00:00,33.8,Educação,Cartão de Débito,35.49,False
229,798,2023-01-10 12:00:00,538.8,Transporte,Transferência Bancária,565.74,True
230,958,2023-01-10 13:00:00,691.46,Educação,Cartão de Crédito,726.033,True
231,331,2023-01-10 14:00:00,751.21,Transporte,Cartão de Crédito,788.7705000000001,True
232,640,2023-01-10 15:00:00,221.01,Entretenimento,Cartão de Crédito,232.0605,True
233,506,2023-01-10 16:00:00,868.51,Entretenimento,Dinheiro,911.9355,True
234,348,2023-01-10 17:00:00,956.28,Entretenimento,Cartão de Crédito,1004.094,True
235,473,2023-01-10 18:00:00,244.35,Entretenimento,Transferência Bancária,256.5675,True
236,231,2023-01-10 19:00:00,883.79,Transporte,Cartão de Débito,927.9795,True
237,190,2023-01-10 20:00:00,106.01,Alimentação,Cartão de Débito,111.3105,True
238,225,2023-01-10 21:00:00,65.15,Saúde,Transferência Bancária,68.40750000000001,True
239,385,2023-01-10 22:00:00,137.93,Saúde,Dinheiro,144.8265,True
240,377,2023-01-10 23:00:00,67.16,Entretenimento,Dinheiro,70.518,True
241,283,2023-01-11 00:00:00,846.56,Alimentação,Cartão de Crédito,888.888,True
242,958,2023-01-11 01:00:00,68.46,Educação,Transferência Bancária,71.883,True
243,633,2023-01-11 02:00:00,278.95,Alimentação,Cartão de Crédito,292.8975,True
244,628,2023-01-11 03:00:00,112.72,Educação,Cartão de Crédito,118.35600000000001,True
245,973,2023-01-11 04:00:00,302.47,Saúde,Transferência Bancária,317.59350000000006,True
246,745,2023-01-11 05:00:00,99.65,Alimentação,Dinheiro,104.63250000000001,True
247,259,2023-01-11 06:00:00,671.32,Alimentação,Dinheiro,704.8860000000001,True
248,359,2023-01-11 07:00:00,141.99,Saúde,Cartão de Débito,149.08950000000002,True
249,710,2023-01-11 08:00:00,853.33,Alimentação,Transferência Bancária,895.9965000000001,True
250,456,2023-01-11 09:00:00,819.02,Educação,Cartão de Crédito,859.971,True
251,411,2023-01-11 10:00:00,23.53,Alimentação,Transferência Bancária,24.706500000000002,False
252,649,2023-01-11 11:00:00,896.77,Educação,Cartão de Crédito,941.6085,True
253,318,2023-01-11 12:00:00,38.65,Entretenimento,Cartão de Débito,40.5825,False
254,677,2023-01-11 13:00:00,247.25,Alimentação,Cartão de Débito,259.6125,True
255,225,2023-01-11 14:00:00,42.07,Educação,Cartão de Débito,44.173500000000004,False
256,819,2023-01-11 15:00:00,342.49,Saúde,Cartão de Débito,359.6145,True
257,234,2023-01-11 16:00:00,518.73,Entretenimento,Cartão de Crédito,544.6665,True
258,684,2023-01-11 17:00:00,798.68,Alimentação,Dinheiro,838.614,True
259,664,2023-01-11 18:00:00,344.6,Educação,Cartão de Crédito,361.83000000000004,True
260,975,2023-01-11 19:00:00,708.44,Alimentação,Cartão de Débito,743.8620000000001,True
261,827,2023-01-11 20:00:00,195.63,Educação,Dinheiro,205.41150000000002,True
262,374,2023-01-11 21:00:00,753.09,Alimentação,Transferência Bancária,790.7445,True
263,672,2023-01-11 22:00:00,243.64,Entretenimento,Cartão de Crédito,255.822,True
264,608,2023-01-11 23:00:00,152.11,Entretenimento,Transferência Bancária,159.71550000000002,True
265,472,2023-01-12 00:00:00,193.55,Alimentação,Cartão de Débito,203.22750000000002,True
266,233,2023-01-12 01:00:00,190.24,Alimentação,Transferência Bancária,199.752,True
267,692,2023-01-12 02:00:00,517.73,Transporte,Dinheiro,543.6165000000001,True
268,113,2023-01-12 03:00:00,846.35,Alimentação,Dinheiro,888.6675,True
269,830,2023-01-12 04:00:00,88.81,Alimentação,Dinheiro,93.2505,True
270,497,2023-01-12 05:00:00,709.89,Entretenimento,Cartão de Crédito,745.3845,True
271,442,2023-01-12 06:00:00,657.8,Alimentação,Transferência Bancária,690.6899999999999,True
272,564,2023-01-12 07:00:00,873.79,Saúde,Transferência Bancária,917.4795,True
273,268,2023-01-12 08:00:00,251.71,Alimentação,Transferência Bancária,264.2955,True
274,510,2023-01-12 09:00:00,455.61,Transporte,Cartão de Débito,478.39050000000003,True
275,807,2023-01-12 10:00:00,926.57,Educação,Cartão de Crédito,972.8985000000001,True
276,386,2023-01-12 11:00:00,663.39,Entretenimento,Cartão de Crédito,696.5595000000001,True
277,387,2023-01-12 12:00:00,394.88,Saúde,Transferência Bancária,414.624,True
278,113,2023-01-12 13:00:00,140.1,Educação,Cartão de Crédito,147.105,True
279,613,2023-01-12 14:00:00,269.86,Saúde,Transferência Bancária,283.353,True
280,625,2023-01-12 15:00:00,585.4,Entretenimento,Transferência Bancária,614.67,True
281,952,2023-01-12 16:00:00,720.99,Transporte,Transferência Bancária,757.0395000000001,True
282,81,2023-01-12 17:00:00,133.18,Entretenimento,Dinheiro,139.83900000000003,True
283,699,2023-01-12 18:00:00,603.6,Saúde,Cartão de Débito,633.7800000000001,True
284,113,2023-01-12 19:00:00,554.85,Saúde,Cartão de Crédito,582.5925000000001,True
285,2,2023-01-12 20:00:00,518.82,Entretenimento,Cartão de Débito,544.7610000000001,True
286,642,2023-01-12 21:00:00,693.22,Alimentação,Dinheiro,727.8810000000001,True
287,220,2023-01-12 22:00:00,839.08,Entretenimento,Cartão de Crédito,881.0340000000001,True
288,566,2023-01-12 23:00:00,329.76,Transporte,Transferência Bancária,346.248,True
289,855,2023-01-13 00:00:00,890.12,Entretenimento,Cartão de Débito,934.6260000000001,True
290,997,2023-01-13 01:00:00,169.03,Educação,Dinheiro,177.4815,True
291,736,2023-01-13 02:00:00,181.29,Alimentação,Cartão de Crédito,190.3545,True
292,225,2023-01-13 03:00:00,274.1,Educação,Cartão de Crédito,287.80500000000006,True
293,385,2023-01-13 04:00:00,128.34,Entretenimento,Cartão de Débito,134.757,True
294,403,2023-01-13 05:00:00,238.02,Alimentação,Cartão de Débito,249.92100000000002,True
295,638,2023-01-13 06:00:00,115.35,Educação,Cartão de Crédito,121.11749999999999,True
296,130,2023-01-13 07:00:00,823.53,Educação,Cartão de Crédito,864.7065,True
297,53,2023-01-13 08:00:00,147.58,Alimentação,Dinheiro,154.95900000000003,True
298,684,2023-01-13 09:00:00,749.82,Alimentação,Transferência Bancária,787.311,True
299,730,2023-01-13 10:00:00,57.43,Saúde,Transferência Bancária,60.301500000000004,True
300,672,2023-01-13 11:00:00,949.04,Alimentação,Dinheiro,996.492,True
301,710,2023-01-13 12:00:00,714.05,Entretenimento,Cartão de Crédito,749.7524999999999,True
302,416,2023-01-13 13:00:00,16.73,Transporte,Cartão de Débito,17.5665,False
303,247,2023-01-13 14:00:00,766.22,Saúde,Cartão de Débito,804.5310000000001,True
304,836,2023-01-13 15:00:00,518.94,Alimentação,Cartão de Crédito,544.8870000000001,True
305,439,2023-01-13 16:00:00,781.57,Transporte,Dinheiro,820.6485000000001,True
306,203,2023-01-13 17:00:00,527.27,Saúde,Cartão de Crédito,553.6335,True
307,184,2023-01-13 18:00:00,644.61,Entretenimento,Cartão de Débito,676.8405,True
308,123,2023-01-13 19:00:00,788.47,Transporte,Cartão de Crédito,827.8935,True
309,401,2023-01-13 20:00:00,411.06,Alimentação,Cartão de Crédito,431.613,True
310,767,2023-01-13 21:00:00,12.68,Alimentação,Dinheiro,13.314,False
311,294,2023-01-13 22:00:00,851.45,Entretenimento,Transferência Bancária,894.0225,True
312,280,2023-01-13 23:00:00,387.08,Saúde,Cartão de Débito,406.434,True
313,837,2023-01-14 00:00:00,501.08,Transporte,Cartão de Débito,526.134,True
314,884,2023-01-14 01:00:00,17.69,Entretenimento,Cartão de Crédito,18.5745,False
315,610,2023-01-14 02:00:00,497.17,Saúde,Cartão de Débito,522.0285,True
316,198,2023-01-14 03:00:00,986.62,Educação,Cartão de Débito,1035.951,True
317,982,2023-01-14 04:00:00,285.48,Educação,Transferência Bancária,299.754,True
318,907,2023-01-14 05:00:00,401.46,Saúde,Cartão de Débito,421.533,True
319,511,2023-01-14 06:00:00,690.32,Alimentação,Cartão de Débito,724.8360000000001,True
320,752,2023-01-14 07:00:00,816.65,Alimentação,Dinheiro,857.4825,True
321,144,2023-01-14 08:00:00,423.22,Educação,Dinheiro,444.38100000000003,True
